Organisation,Org_URL,Country,Pub_Date,Leak_Type,Description,Ransom_URL,Ransom_Group,Org_Revenue,Leak_Links
pu.edu.lb,https://pu.edu.lb,NA,22/12/2022,Financial documents|correspondence with bank employees|account movements|balance sheets|tax documents|compensation|source code,"Phoenicia University (PU) is a non-profit, private, and nonsectarian officially licensed institution of higher education. The University comprises six colleges: Architecture and Design, Arts and Sciences, Business, Engineering, Law and Political Science, and Public Health. PU campus is located in the District of Zahrani, in the Southern Governorate of Lebanon, only a 40-minute drive from Beirut International Airport. PU is currently deemed as one of the fastest growing higher education institutions in the country.The University’s dedication towards educational equality and equity is underpinned by the University’s moral obligation to make quality education accessible to all. PU provides an outstanding level of education that values innovation in learning and teaching, thus preparing new generations of students to become job-ready graduates and lead in their chosen fields. This outstanding level of education is provided by faculty members and overseen by deans who have been selected for their distinguished academic backgrounds and international expertise.. ",http://cuba4ikm4jakjgmkezytyawtdgr2xymvy6nvzgw5cglswg3si76icnqd.onion/company/pu.edu.lb,Cuba,NA,https://kcfgfs7cclscxloy3bf2xtwnayimawtzrbfirfbvl47xt7n2brfiizyd.onion
Sae-a,http://www.sae-a.com,NA,17/12/2022,Financial documents|correspondence with bank employees|account movements|balance sheets|tax documents|compensation|source code,"From yarn-production through its fabric mills that draw on in new innovation and technology, to retail operations in Korea, SAE-A has become one of the few apparel manufacturers capable of achieving complete vertical-integration of its supply chain. For SAE-A, business means being a member of the community. The company engages in community activities and corporate social responsibility both locally and across all of its operations. It provides personal advancement and career growth opportunities for associates, holds itself to stringent environmental standards, and supports local medical and educational programs. Being a model corporate citizen is of the utmost importance to SAE-A.. ",http://cuba4ikm4jakjgmkezytyawtdgr2xymvy6nvzgw5cglswg3si76icnqd.onion/company/Sae-a,Cuba,NA,https://kcfgfs7cclscxloy3bf2xtwnayimawtzrbfirfbvl47xt7n2brfiizyd.onion
2networkit,http://2networkit.com/,NA,07/12/2022,Financial documents|correspondence with bank employees|account movements|balance sheets|tax documents|compensation|source code,"2Networkit.com inc. focuses mainly on I.T. (Information Technology) Remote access design and implementation, I.T. Consultation and Web hosting. The president Marc Villeneuve has over 25 years experience in the IT industry and has been hired in the past by giants such as IBM Canada, The House of Commons and the City of Ottawa.. ",http://cuba4ikm4jakjgmkezytyawtdgr2xymvy6nvzgw5cglswg3si76icnqd.onion/company/2networkit,Cuba,NA,https://kcfgfs7cclscxloy3bf2xtwnayimawtzrbfirfbvl47xt7n2brfiizyd.onion
Generator-power,https://generator-power.co.uk,NA,22/11/2022,Financial documents|correspondence with bank employees|account movements|balance sheets|tax documents|compensation|source code,"Power Generator HireWe have one of the widest ranges in the UK, with generators and ancillary equipment that can handle anything from a planned event to an emergency power shortage.. Emergency responseWherever you are in the UK, we have the equipment, vehicles and network of depots to solve your power problems.. Project ManagementWe’re experts. So many of our clients ask us for advice. We’re happy to do site surveys and act as consultants to help you work smarter and save more money.. ",http://cuba4ikm4jakjgmkezytyawtdgr2xymvy6nvzgw5cglswg3si76icnqd.onion/company/Generator-power,Cuba,NA,https://kcfgfs7cclscxloy3bf2xtwnayimawtzrbfirfbvl47xt7n2brfiizyd.onion
Landaumedia,https://www.landaumedia.de,NA,24/11/2022,Financial documents|correspondence with bank employees|account movements|balance sheets|tax documents|compensation|source code,"Landau Media is one of the leading players in the field of media monitoring, press review services, and media analysis in Germany.. Thanks to our in-house analysis technology, we can search the media landscape across all media types. We do so not only across Germany, but also on an international level. To cope with the digital transformation, we are constantly adapting our media panel to the rapid changes within the media industry and therefore further expand our customer platform.. More than 10,000 global customers already use our services and digital solutions. We monitor print media, TV, radio, online media including social media and even podcasts and TikTok!. ",http://cuba4ikm4jakjgmkezytyawtdgr2xymvy6nvzgw5cglswg3si76icnqd.onion/company/Landaumedia,Cuba,NA,https://kcfgfs7cclscxloy3bf2xtwnayimawtzrbfirfbvl47xt7n2brfiizyd.onion
Boss-inc,http://www.boss-inc.biz,NA,23/11/2022,Financial documents|correspondence with bank employees|account movements|balance sheets|tax documents|compensation|source code,"BOSS is made up of a team of educated, experienced professionals who are passionate about assisting human service organizations with the often tedious tasks most people don’t like to do – and perhaps, don’t know how to do. The BOSS team is a group of industry experts who have a combined history of 70 years of experience working with the following types of human service organizations:. ",http://cuba4ikm4jakjgmkezytyawtdgr2xymvy6nvzgw5cglswg3si76icnqd.onion/company/Boss-inc,Cuba,NA,https://kcfgfs7cclscxloy3bf2xtwnayimawtzrbfirfbvl47xt7n2brfiizyd.onion
Patton,https://www.patton.com/,NA,28/11/2022,Financial documents|correspondence with bank employees|account movements|balance sheets|tax documents|compensation|source code,"We Built Patton to Solve Two ProblemsMaking Connections: Our mission is to connect real-world customer challenges with high-quality, right-priced technology solutions. Our passion is to help our customers solve problems--and we win their hearts by combining high value products and solutions with unrivaled customer service and technical support. Patton is all about connections.. Keeping up with Change: Technologies converge and networks consolidate; applications; and services diversify and specialized needs emerge in various vertical markets and geographic locations. What was new has become old and Patton helps keep the transitions systematic and orderly by focusing on our customer's needs, developing new technologies that drive into the future while maintaining core technologies that can provide the bridge.. ",http://cuba4ikm4jakjgmkezytyawtdgr2xymvy6nvzgw5cglswg3si76icnqd.onion/company/Patton,Cuba,NA,https://kcfgfs7cclscxloy3bf2xtwnayimawtzrbfirfbvl47xt7n2brfiizyd.onion
waltersandwolf,https://waltersandwolf.com,NA,04/11/2022,Financial documents|correspondence with bank employees|account movements|balance sheets|tax documents|compensation|source code,"We are disciplined in practicing the Toyota production system, growing and building lean thinkers focused on adding more value to our customers, both internally and externally. You can learn from our system with over 6,000 videos in our content library.. ",http://cuba4ikm4jakjgmkezytyawtdgr2xymvy6nvzgw5cglswg3si76icnqd.onion/company/waltersandwolf,Cuba,NA,https://kcfgfs7cclscxloy3bf2xtwnayimawtzrbfirfbvl47xt7n2brfiizyd.onion
bfw,https://www.bfw.de,NA,18/10/2022,Financial documents|correspondence with bank employees|account movements|balance sheets|tax documents|compensation|source code,"Sie möchten eine Umschulung machen und sich beruflich weiterentwickeln? Sie benötigen eine Weiterbildung, um mit der rasanten Entwicklung des digitalisierten Arbeitsmarktes Schritt halten zu können? Sie haben persönliche berufliche Ziele, die Sie gerne noch erreichen möchten?. Dann sind Sie bei uns im bfw – Unternehmen für Bildung genau richtig. Wir bilden Sie für Ihren Beruf aus und qualifizieren Sie weiter. An über 200 Standorten beraten und schulen wir Sie individuell – unsere Dozentinnen und Dozenten sind Spezialisten im regionalen Arbeitsmarkt. Dadurch schaffen wir für Sie die besten Berufschancen in Ihrer Region und Sie profitieren von unseren hohen Vermittlungsquoten. Mit auf dem Arbeitsmarkt anerkannten Zertifikaten bekommen Sie die optimale Basis für Ihren Erfolg und Ihre persönliche Entwicklung.Aufgrund unserer langen Tradition vertreten wir Werte, die Sie als Mensch in den Mittelpunkt unseres Wirken und Handelns stellen. Ihre Bedürfnisse stehen bei uns immer an erster Stelle – das versprechen wir Ihnen.. ",http://cuba4ikm4jakjgmkezytyawtdgr2xymvy6nvzgw5cglswg3si76icnqd.onion/company/bfw,Cuba,NA,https://kcfgfs7cclscxloy3bf2xtwnayimawtzrbfirfbvl47xt7n2brfiizyd.onion
Dialogsas,http://www.dialogsas.fr/,NA,15/10/2022,Financial documents|correspondence with bank employees|account movements|balance sheets|tax documents|compensation|source code,"CERTIFICATION ISO 9001 V2015. Le certificat ISO 9001 v2015 de DIALOG, pour les activités Logistique Industrielle, stockage, emballage, confinement et transport a été renouvelé pour une durée de 3 ans. Il est désormais valide jusqu’au 28 janvier 2024.. ",http://cuba4ikm4jakjgmkezytyawtdgr2xymvy6nvzgw5cglswg3si76icnqd.onion/company/Dialogsas,Cuba,NA,https://kcfgfs7cclscxloy3bf2xtwnayimawtzrbfirfbvl47xt7n2brfiizyd.onion
Ville-chaville,https://www.ville-chaville.fr,NA,14/10/2022,Financial documents|correspondence with bank employees|account movements|balance sheets|tax documents|compensation|source code,La Ville de Chaville victime d’une cyberattaque. ,http://cuba4ikm4jakjgmkezytyawtdgr2xymvy6nvzgw5cglswg3si76icnqd.onion/company/Ville-chaville,Cuba,NA,https://kcfgfs7cclscxloy3bf2xtwnayimawtzrbfirfbvl47xt7n2brfiizyd.onion
Murphyfamilyventures,https://www.murphyfamilyventures.com,NA,29/09/2022,Financial documents|correspondence with bank employees|account movements|balance sheets|tax documents|compensation|source code,,http://cuba4ikm4jakjgmkezytyawtdgr2xymvy6nvzgw5cglswg3si76icnqd.onion/company/Murphyfamilyventures,Cuba,NA,https://kcfgfs7cclscxloy3bf2xtwnayimawtzrbfirfbvl47xt7n2brfiizyd.onion
Ginspectionservices,https://www.ginspectionservices.com/,NA,20/09/2022,Financial documents|correspondence with bank employees|account movements|balance sheets|tax documents|compensation|source code,"Global Inspection Services (GIS) is a high performance inspection, testing & certification organization that provides services for EPC, Owners, Vendors, among other clients. GIS deals with O&G, Power Generation, Water, Mining & Handling, and some other industries (Paper, Chemicals, Fertilizers, Shipbuilding...). We are experts in Pressure Equipment & Commissioning. GIS group has offices and branches in 5 countries of Europe, Asia and America; and in-house staff in 13 countries. We have several certifications, approvals and accreditations, being Independent Inspection Body (399/EI707), Independent Notified Body (NoBo 2744), etc. Portfolio of services:. ",http://cuba4ikm4jakjgmkezytyawtdgr2xymvy6nvzgw5cglswg3si76icnqd.onion/company/Ginspectionservices,Cuba,NA,https://kcfgfs7cclscxloy3bf2xtwnayimawtzrbfirfbvl47xt7n2brfiizyd.onion
Skupstina,https://www.skupstina.me,NA,19/08/2022,Financial documents|correspondence with bank employees|account movements|balance sheets|tax documents|compensation|source code,"Department for Public Relations performs tasks related to the following: informing the public on activities of the Parliament, the President, vice-presidents and the Secretary General, working bodies and MPs, preparing and issuing press releases in cooperation with the organisational units, organising of press conferences, planning, preparing and organising of communication with the public, as well as external communication, providing professional support for appearances in the media, issuing accreditations to the journalists and keeping records of the accredited journalists, as well as organising citizens’ visits to the Parliament.. ",http://cuba4ikm4jakjgmkezytyawtdgr2xymvy6nvzgw5cglswg3si76icnqd.onion/company/Skupstina,Cuba,NA,https://kcfgfs7cclscxloy3bf2xtwnayimawtzrbfirfbvl47xt7n2brfiizyd.onion
Site-technology,https://www.site-technology.com,NA,19/07/2022,Financial documents|correspondence with bank employees|account movements|balance sheets|tax documents|compensation|source code,"More than1000 employeesin Abu Dhabi, Dubai, Riyadh, Jeddah, khobar, Doha, Baghdad and Beirut. Driven by a common Vision, sharing common Values and inspired by a spirit of innovation, our people are still displaying unwavering dedication to put the Group at the forefront of the turnkey solution providers and maintain a leadership position.Site Technology is a supplier, system integrator, and a contractor, with a range of services that covers the design, procurement, installation, commissioning, operation and maintenance of new systems along with the upgrade, support and management of existing systems in different activity sectors:– Technology– Power– Contracting– Power GenerationAfter 26 years of operations, the group has more than 1000 employees operating in 8 different locations:Abu Dhabi / Dubai/ Riyadh/ Jeddah/ Khobar/ Doha/ Beirut/ Baghdad. Combining this vast spectrum of efficacies with a highly trained team of specialists, we are able to offer system based turnkey solutions that are performance driven, cost-effective and remarkably straightforward. It is this signature quality that has consistently distinguished our services and garnered our clients’ professional trust.Site Technology has 12 business activities:1- ELV & Integrated Security Systems2- Network Integration Systems3- Biometrics Systems4- Audiovisual Systems5- UPS Systems6- Data Center7- Power Production & Conversion8- Infrastructure Contracting9- General Contracting10- Renewable Energy11- Fossil Energy12- Recoverable Energies. ",http://cuba4ikm4jakjgmkezytyawtdgr2xymvy6nvzgw5cglswg3si76icnqd.onion/company/site-technology_,Cuba,NA,https://kcfgfs7cclscxloy3bf2xtwnayimawtzrbfirfbvl47xt7n2brfiizyd.onion/
Stm.com.tw,http://stm.com.tw/,NA,04/07/2022,Financial documents|correspondence with bank employees|account movements|balance sheets|tax documents|compensation|source code,"Over the past 50 years, STM have been actively studying the research and development of connectors, the research of material application, and the design and manufacture of high-precision products and molds.One-stop service to meet the diverse needs and high-quality requirements of customers.In recent two decades, STM has continuously invested in the advanced automatic assembly technology and equipments. The quality and control meets international standards, with highly competitive advantages. STM has an important place in the supply chain of leading companies in the technology, information and electronics industries globally.. ",http://cuba4ikm4jakjgmkezytyawtdgr2xymvy6nvzgw5cglswg3si76icnqd.onion/company/stm.com.tw,Cuba,NA,https://kcfgfs7cclscxloy3bf2xtwnayimawtzrbfirfbvl47xt7n2brfiizyd.onion
R1group,https://r1group.it,NA,22/06/2022,Financial documents|correspondence with bank employees|account movements|balance sheets|tax documents|compensation|source code,"For more then 27 years we have been expanding our Partnerships in order to strengthen each area of competence of the company, in function of the organisation, the offering, the specific needs. The objective is to acquire the definition of a technical and consulting proposal targeted at optimising company workflows and total effectiveness. With our partners, we guarantee our interlocutors the supply, installation and integration of the best hardware and software systems on the market.. We possess the highest levels of technical and commercial certifications for each brand we work with, convinced that investing in resources and their skills is the only way to bring value to the market.. ",http://cuba4ikm4jakjgmkezytyawtdgr2xymvy6nvzgw5cglswg3si76icnqd.onion/company/r1group,Cuba,NA,https://kcfgfs7cclscxloy3bf2xtwnayimawtzrbfirfbvl47xt7n2brfiizyd.onion
Etron,https://www.etron.com,NA,01/06/2022,Financial documents|correspondence with bank employees|account movements|balance sheets|tax documents|compensation|source code,"Etron Technology, Inc. (Taiwan GTSM: 5351) is a world-class fabless IC design and product company founded in February 1991, specializing in buffer memory and system-on-chips. Etron pioneered Taiwan’s “National Sub-micron Project” and helped develop Taiwan’s first 8-inch wafer sub-micron technology, building a solid foundation for the DRAM and SRAM industries in Taiwan. As a publicly-traded company headquartered in Taiwan, Etron strives to bridge the borders between the Asia-Pacific region and the international marketplace. It conducts active business with companies in the US, Europe, Japan, as well as other Asian countries.. ",http://cuba4ikm4jakjgmkezytyawtdgr2xymvy6nvzgw5cglswg3si76icnqd.onion/company/etron,Cuba,NA,https://kcfgfs7cclscxloy3bf2xtwnayimawtzrbfirfbvl47xt7n2brfiizyd.onion
Upskwt,https://upskwt.com/,NA,13/05/2022,Financial documents|correspondence with bank employees|account movements|balance sheets|tax documents|compensation|source code,"Universal Payment Services – a Kuwait-Saudi partnership with a capital of 50 million USD – is one of the leaders in transaction processing and offers international, top-notch electronic transaction processing services through high speed, robust electronic information network.. ",http://cuba4ikm4jakjgmkezytyawtdgr2xymvy6nvzgw5cglswg3si76icnqd.onion/company/upskwt,Cuba,NA,https://kcfgfs7cclscxloy3bf2xtwnayimawtzrbfirfbvl47xt7n2brfiizyd.onion
Metrobrokers,https://www.metrobrokers.com,NA,14/04/2022,Financial documents|correspondence with bank employees|account movements|balance sheets|tax documents|compensation|source code,"Since opening in 1979, BHGRE Metro Brokers has expanded to 27 locations and more than 2,400 real estate agents. The company has gained national recognition for its unique platform that is 100% geared and modeled to help agents become more successful than they could be anywhere else. It all begins with the most dynamic training programs, supported by the best resources and technology in the business. More agents choose BHGRE Metro Brokers than any other company in Georgia.. ",http://cuba4ikm4jakjgmkezytyawtdgr2xymvy6nvzgw5cglswg3si76icnqd.onion/company/metrobrokers,Cuba,NA,https://kcfgfs7cclscxloy3bf2xtwnayimawtzrbfirfbvl47xt7n2brfiizyd.onion
Prophoenix,https://www.prophoenix.com/,NA,17/04/2022,Financial documents|correspondence with bank employees|account movements|balance sheets|tax documents|compensation|source code,ProPhoenix is managed by industry leading personnel with a passion to serve the Public Safety and Justice Industry. ,http://cuba4ikm4jakjgmkezytyawtdgr2xymvy6nvzgw5cglswg3si76icnqd.onion/company/prophoenix,Cuba,NA,https://kcfgfs7cclscxloy3bf2xtwnayimawtzrbfirfbvl47xt7n2brfiizyd.onion
Metagenics,https://www.metagenics.com.au,NA,01/04/2022,Financial documents|correspondence with bank employees|account movements|balance sheets|tax documents|compensation|source code,"Metagenics is recognised as a Leading Natural Health Science Company and the innovators in Natural Health products and Healthcare Professional education.. Metagenics have invested in cutting edge manufacturing technology and equipment in order to expand production of the highest quality Natural Medicines. This level of commitment ensures that Metagenics produces products that you and your patient can trust for quality and effectiveness.. The $40 million head office, manufacturing and testing facility will allow Metagenics to lead in an industry experiencing phenomenal growth. This massive investment demonstrates the commitment to being the number one Natural Medicine supplier and educator, with all products manufactured to TGA (Therapeutic Goods Administration) GMP (Good Manufacturing Practice) compliance.. ",http://cuba4ikm4jakjgmkezytyawtdgr2xymvy6nvzgw5cglswg3si76icnqd.onion/company/metagenics,Cuba,NA,https://kcfgfs7cclscxloy3bf2xtwnayimawtzrbfirfbvl47xt7n2brfiizyd.onion
Bcintlgroup.com,http://www.bcintlgroup.com/,NA,11/03/2022,Financial documents|correspondence with bank employees|account movements|balance sheets|tax documents|compensation|source code,"BC International Group is a global apparel manufacturer and distributor headquartered in Totowa, New Jersey.. ",http://cuba4ikm4jakjgmkezytyawtdgr2xymvy6nvzgw5cglswg3si76icnqd.onion/company/bcintlgroup.com,Cuba,NA,https://kcfgfs7cclscxloy3bf2xtwnayimawtzrbfirfbvl47xt7n2brfiizyd.onion
Trant.co.uk,https://www.trant.co.uk/,NA,25/03/2022,Financial documents|correspondence with bank employees|account movements|balance sheets|tax documents|compensation|source code,"Our mission is to be the first choice Engineering Procurement and Construction Company for our clients in the UK and overseas.Our clients can benefit from an extensive range of in-house services including process, MEICA and civil design, Offsite Manufacture & Assembly, instrumentation control and automation products and commissioning services. This internal capability allows us to offer innovation and efficiency to the whole life cycle of EPC projects across all our sectors.. ",http://cuba4ikm4jakjgmkezytyawtdgr2xymvy6nvzgw5cglswg3si76icnqd.onion/company/trant.co.uk,Cuba,NA,https://kcfgfs7cclscxloy3bf2xtwnayimawtzrbfirfbvl47xt7n2brfiizyd.onion
Powertech,http://www.powertech.co.kr/,NA,19/03/2022,Financial documents|correspondence with bank employees|account movements|balance sheets|tax documents|compensation|source code,"Hyundai Powertech is a main auto parts manufacturer of Hyundai Motor Group, specializing in automotive transmissions. Company has a full line of transmission products from compact cars to full-size cars, and has been able to entrench its strong market position as a transmission specialist.. ",http://cuba4ikm4jakjgmkezytyawtdgr2xymvy6nvzgw5cglswg3si76icnqd.onion/company/powertech,Cuba,NA,https://kcfgfs7cclscxloy3bf2xtwnayimawtzrbfirfbvl47xt7n2brfiizyd.onion
Get-integrated,https://www.get-integrated.com/,NA,11/02/2022,Financial documents|correspondence with bank employees|account movements|balance sheets|tax documents|compensation|source code,"Integrated Data Services (IDS) is a leading provider of custom software products and Government financial management services. IDS was founded in 1997 in El Segundo, Ca, and since that time has seen tremendous growth and success. Currently IDS has offices supporting customers nationwide. By providing customers with fast, efficient and reliable information systems and support services, IDS has become a preferred provider of financial and programmatic systems, services, and solutions across a wide variety of government agencies.. ",http://cuba4ikm4jakjgmkezytyawtdgr2xymvy6nvzgw5cglswg3si76icnqd.onion/company/get-integrated,Cuba,NA,https://kcfgfs7cclscxloy3bf2xtwnayimawtzrbfirfbvl47xt7n2brfiizyd.onion
Muntons,https://www.muntons.com/,NA,10/02/2022,Financial documents|correspondence with bank employees|account movements|balance sheets|tax documents|compensation,"Our StoryNow trading for 100 years, Muntons have become a leading supplier of brewing and distilling malts and malted ingredients to the food & drinks industry worldwide.Our malts are used in the brewing and distilling industry by globally recognised brands and by the craft brewer seeking something a little different.. Our ranges of malt products are extensive and particularly relevant for food and beverage manufacturers seeking clean label, plant- based ingredients. Use this website to discover more about our extensive range of malts and ingredients and discover the benefits that Muntons products can bring.. Sustainability is the common objective that links all aspects of Muntons business activities. Our objective is to minimise the impact of our business activity on the environment wherever and whenever possible.. ",http://cuba4ikm4jakjgmkezytyawtdgr2xymvy6nvzgw5cglswg3si76icnqd.onion/company/muntons,Cuba,NA,https://kcfgfs7cclscxloy3bf2xtwnayimawtzrbfirfbvl47xt7n2brfiizyd.onion
Edgo,https://www.edgo.com/,NA,25/01/2022,Financial documents|correspondence with bank employees|account movements|balance sheets|tax documents|compensation,"From a small company to an international pioneerThe Edgo story started in the early 1950s when Angela C. Kegler and Munib R. Masri met at the University of Texas in Austin where both teenagers were sophomores. Munib had travelled to the USA from Nablus, Palestine to study geology.. ",http://cuba4ikm4jakjgmkezytyawtdgr2xymvy6nvzgw5cglswg3si76icnqd.onion/company/edgo,Cuba,NA,https://kcfgfs7cclscxloy3bf2xtwnayimawtzrbfirfbvl47xt7n2brfiizyd.onion
Shoesforcrews,https://www.shoesforcrews.com/,NA,01/02/2022,Financial documents|correspondence with bank employees|account movements|balance sheets|tax documents|compensation,"As the top innovator in slip-resistant footwear for more than 35 years, making and selling quality protective shoes is at our core – but it’s only a fraction of what we do. We are seasoned experts in creating and operating life-saving managed safety footwear programs for businesses large and small. Our goal is to become the #1 provider of safety footwear solutions across all industries.. ",http://cuba4ikm4jakjgmkezytyawtdgr2xymvy6nvzgw5cglswg3si76icnqd.onion/company/shoesforcrews,Cuba,NA,https://kcfgfs7cclscxloy3bf2xtwnayimawtzrbfirfbvl47xt7n2brfiizyd.onion
Cmmcpas,https://www.cmmcpas.com,NA,31/01/2022,Financial documents|correspondence with bank employees|account movements|balance sheets|tax documents|compensation,"Visit UsIn Woodland Hills, California5820 Canoga Ave.Suite 300Woodland Hills, CA 91367The office is located on the 3rd floor of the Wells Fargo Advisors building on the Warner Center Campus.. ",http://cuba4ikm4jakjgmkezytyawtdgr2xymvy6nvzgw5cglswg3si76icnqd.onion/company/cmmcpas,Cuba,NA,https://kcfgfs7cclscxloy3bf2xtwnayimawtzrbfirfbvl47xt7n2brfiizyd.onion
Mtlcraft,https://www.mtlcraft.com/,NA,18/01/2022,Financial documents|correspondence with bank employees|account movements|balance sheets|tax documents|compensation,"Our workforce has a wide array of specialized skills, our customers are Fortune 500 companies, and our capabilities span multiple industries. And yet, ask any person involved with any Metalcraft project, and they’ll have precisely the same expectations:. ",http://cuba4ikm4jakjgmkezytyawtdgr2xymvy6nvzgw5cglswg3si76icnqd.onion/company/mtlcraft,Cuba,NA,https://kcfgfs7cclscxloy3bf2xtwnayimawtzrbfirfbvl47xt7n2brfiizyd.onion
Superfund,https://www.superfund.com,NA,15/01/2022,Financial documents|correspondence with bank employees|account movements|balance sheets|tax documents|compensation,The Superfund group of investment companies was founded in 1995 by Christian Baha in Vienna and are among the world’s most respected fund providers that rely on fully automated proprietary computer trading systems. ,http://cuba4ikm4jakjgmkezytyawtdgr2xymvy6nvzgw5cglswg3si76icnqd.onion/company/superfund,Cuba,NA,https://kcfgfs7cclscxloy3bf2xtwnayimawtzrbfirfbvl47xt7n2brfiizyd.onion
Fdcbuilding,http://fdcbuilding.com.au/,NA,11/01/2022,,"We’re space creators and relationship makers. Independently owned and operated, delivering best-in-class construction, fitout, refurbishment and building services.. ",http://cuba4ikm4jakjgmkezytyawtdgr2xymvy6nvzgw5cglswg3si76icnqd.onion/company/fdcbuilding,Cuba,NA,https://kcfgfs7cclscxloy3bf2xtwnayimawtzrbfirfbvl47xt7n2brfiizyd.onion
